"sample_id","condition","replicate","cluster_id","n_cells","prop_within_sample"
"WT1","WT",1,"2",797,0.0811691618291068
"WT1","WT",1,"11",387,0.0394133822181485
"WT1","WT",1,"10",207,0.0210815765352887
"WT1","WT",1,"1",797,0.0811691618291068
"WT1","WT",1,"8",565,0.0575415011711987
"WT1","WT",1,"29",13,0.00132396374376209
"WT1","WT",1,"28",12,0.00122212037885732
"WT1","WT",1,"27",19,0.00193502393319075
"WT1","WT",1,"20",110,0.0112027701395254
"WT1","WT",1,"3",756,0.076993583868011
"WT1","WT",1,"6",549,0.0559120073327223
"WT1","WT",1,"9",352,0.0358488644464813
"WT1","WT",1,"30",7,0.000712903554333435
"WT1","WT",1,"21",124,0.0126285772481923
"WT2","WT",2,"16",113,0.0168581232284052
"WT2","WT",2,"25",28,0.00417723407429509
"WT2","WT",2,"17",49,0.00731015963001641
"WT2","WT",2,"11",302,0.0450544532298971
"WT2","WT",2,"7",416,0.0620617633895271
"WT2","WT",2,"14",211,0.031478442488438
"WT2","WT",2,"26",22,0.00328211248694614
"WT2","WT",2,"22",53,0.00790690735491571
"WT2","WT",2,"21",83,0.0123825152916605
"WT2","WT",2,"10",310,0.0462479486796957
"WT2","WT",2,"13",214,0.0319260032821125
"WT2","WT",2,"0",1095,0.163359689691183
"WT2","WT",2,"19",86,0.0128300760853349
"WT2","WT",2,"18",94,0.0140235715351335
"WT2","WT",2,"27",14,0.00208861703714755
"WT2","WT",2,"8",279,0.0416231538117261
"WT2","WT",2,"4",476,0.0710129792630166
"WT2","WT",2,"15",121,0.0180516186782038
"WT2","WT",2,"24",32,0.00477398179919439
"WT2","WT",2,"23",77,0.0114873937043115
"WT2","WT",2,"2",477,0.0711621661942414
"WT2","WT",2,"29",8,0.0011934954497986
"WT2","WT",2,"30",5,0.000745934656124124
"WT2","WT",2,"1",534,0.0796658212740564
"WT2","WT",2,"5",447,0.0666865582574966
"WT2","WT",2,"3",475,0.0708637923317917
"WT2","WT",2,"28",19,0.00283455169327167
"WT2","WT",2,"9",217,0.032373564075787
"WT2","WT",2,"20",67,0.00999552439206326
"WT2","WT",2,"6",379,0.0565418469342086
"WT3","WT",3,"15",131,0.0167948717948718
"WT3","WT",3,"24",63,0.00807692307692308
"WT3","WT",3,"11",355,0.0455128205128205
"WT3","WT",3,"21",78,0.01
"WT3","WT",3,"0",1320,0.169230769230769
"WT3","WT",3,"19",81,0.0103846153846154
"WT3","WT",3,"17",71,0.0091025641025641
"WT3","WT",3,"16",126,0.0161538461538462
"WT3","WT",3,"25",19,0.00243589743589744
"WT3","WT",3,"6",408,0.0523076923076923
"WT3","WT",3,"14",230,0.0294871794871795
"WT3","WT",3,"13",212,0.0271794871794872
"WT3","WT",3,"22",74,0.00948717948717949
"WT3","WT",3,"30",1,0.000128205128205128
"WT3","WT",3,"10",449,0.0575641025641026
